date,indicator_name,indicator_value,region,frequency,caliber
2015-09-01,社会消费品零售总额_累计值,117296.9,全国,monthly,cum_level
2015-09-01,工业增加值_当月同比_mom_yoy,6.1,全国,monthly,mom_yoy
2015-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,11.4,全国,monthly,ytd_yoy
2015-10-01,房地产开发投资_累计值,43954.95,全国,monthly,cum_level
2015-10-01,社会消费品零售总额_累计值,141577.1,全国,monthly,cum_level
2015-10-01,工业增加值_当月同比_mom_yoy,6.8,全国,monthly,mom_yoy
2015-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,11.2,全国,monthly,ytd_yoy
2015-11-01,房地产开发投资_累计值,52562.22,全国,monthly,cum_level
2015-11-01,社会消费品零售总额_累计值,165915.9,全国,monthly,cum_level
2015-11-01,工业增加值_当月同比_mom_yoy,6.0,全国,monthly,mom_yoy
2015-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.9,全国,monthly,ytd_yoy
2015-12-01,房地产开发投资_累计值,61062.54,全国,monthly,cum_level
2015-12-01,社会消费品零售总额_累计值,190809.3,全国,monthly,cum_level
2015-12-01,工业增加值_当月同比_mom_yoy,6.1,全国,monthly,mom_yoy
2016-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.3,全国,monthly,ytd_yoy
2016-02-01,房地产开发投资_累计值,70535.07,全国,monthly,cum_level
2016-02-01,社会消费品零售总额_累计值,216079.9,全国,monthly,cum_level
2016-02-01,工业增加值_当月同比_mom_yoy,5.7,全国,monthly,mom_yoy
2016-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.2,全国,monthly,ytd_yoy
2016-03-01,房地产开发投资_累计值,78800.74,全国,monthly,cum_level
2016-03-01,社会消费品零售总额_累计值,244358.8,全国,monthly,cum_level
2016-03-01,工业增加值_当月同比_mom_yoy,5.6,全国,monthly,mom_yoy
2016-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.2,全国,monthly,ytd_yoy
2016-04-01,房地产开发投资_累计值,87702.38,全国,monthly,cum_level
2016-04-01,社会消费品零售总额_累计值,272296.1,全国,monthly,cum_level
2016-04-01,工业增加值_当月同比_mom_yoy,6.2,全国,monthly,mom_yoy
2016-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.0,全国,monthly,ytd_yoy
2016-05-01,房地产开发投资_累计值,95978.85,全国,monthly,cum_level
2016-05-01,社会消费品零售总额_累计值,300930.8,全国,monthly,cum_level
2016-05-01,工业增加值_当月同比_mom_yoy,5.9,全国,monthly,mom_yoy
2016-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.2,全国,monthly,ytd_yoy
2016-07-01,房地产开发投资_累计值,9051.79,全国,monthly,cum_level
2016-07-01,社会消费品零售总额_累计值,52910.3,全国,monthly,cum_level
2016-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.7,全国,monthly,ytd_yoy
2016-08-01,房地产开发投资_累计值,17676.62,全国,monthly,cum_level
2016-08-01,社会消费品零售总额_累计值,78024.4,全国,monthly,cum_level
2016-08-01,工业增加值_当月同比_mom_yoy,6.8,全国,monthly,mom_yoy
2016-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,10.5,全国,monthly,ytd_yoy
2016-09-01,房地产开发投资_累计值,25375.64,全国,monthly,cum_level
2016-09-01,社会消费品零售总额_累计值,102670.2,全国,monthly,cum_level
2016-09-01,工业增加值_当月同比_mom_yoy,6.0,全国,monthly,mom_yoy
2016-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,9.6,全国,monthly,ytd_yoy
2016-10-01,房地产开发投资_累计值,34564.11,全国,monthly,cum_level
2016-10-01,社会消费品零售总额_累计值,129280.9,全国,monthly,cum_level
2016-10-01,工业增加值_当月同比_mom_yoy,6.0,全国,monthly,mom_yoy
2016-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,9.0,全国,monthly,ytd_yoy
2016-11-01,房地产开发投资_累计值,46630.52,全国,monthly,cum_level
2016-11-01,社会消费品零售总额_累计值,156138.3,全国,monthly,cum_level
2016-11-01,工业增加值_当月同比_mom_yoy,6.2,全国,monthly,mom_yoy
2016-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.1,全国,monthly,ytd_yoy
2016-12-01,房地产开发投资_累计值,55360.5,全国,monthly,cum_level
2016-12-01,社会消费品零售总额_累计值,182965.8,全国,monthly,cum_level
2016-12-01,工业增加值_当月同比_mom_yoy,6.0,全国,monthly,mom_yoy
2017-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.1,全国,monthly,ytd_yoy
2017-02-01,房地产开发投资_累计值,64386.74,全国,monthly,cum_level
2017-02-01,社会消费品零售总额_累计值,210505.4,全国,monthly,cum_level
2017-02-01,工业增加值_当月同比_mom_yoy,6.3,全国,monthly,mom_yoy
2017-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.2,全国,monthly,ytd_yoy
2017-03-01,房地产开发投资_累计值,74597.59,全国,monthly,cum_level
2017-03-01,社会消费品零售总额_累计值,238481.8,全国,monthly,cum_level
2017-03-01,工业增加值_当月同比_mom_yoy,6.1,全国,monthly,mom_yoy
2017-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.3,全国,monthly,ytd_yoy
